date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone.x,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,stream_width_ratio,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,stream_width_ratio_score,final_score,barrier_result,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,geometry,misc_point_id,digital_road_atlas_line_id,highway_route_number,road_class,road_name_full,road_surface,trim_transportation_lines_id,ften_road_segment_line_id,forest_file_id,road_section_id,road_responsibility_type_code,retirement_date,file_status_code,file_type_code,file_type_description,client_number,client_name,life_cycle_status_code,map_label,og_road_segment_permit_id,og_petrlm_dev_rd_pre06_pub_id,track_segment_id,track_name,track_classification,use_type,gauge,status,operator_english_name,owner_name,fcode,fcode_label,utm_zone.y,utm_easting,utm_northing,distance,crossing_id,geom_modelled_crossing,admin_area_abbreviation,map_tile_display_name,client_name_abb,my_road_tenure,aggregated_crossings_id,stream_crossing_id,dam_id,modelled_crossing_id,crossing_source,crossing_type,crossing_name,barrier_status,linear_feature_id,blue_line_key,downstream_route_measure,wscode_ltree,localcode_ltree,watershed_group_code,geom,dnstr_crossings,dnstr_barriers_anthropogenic,observedspp_dnstr,observedspp_upstr,stream_order,stream_magnitude,gradient,watershed_upstr_ha,total_network_km,total_stream_km,total_lakereservoir_ha,total_wetland_ha,total_slopeclass03_waterbodies_km,total_slopeclass03_km,total_slopeclass05_km,total_slopeclass08_km,total_slopeclass15_km,total_slopeclass22_km,total_slopeclass30_km,total_belowupstrbarriers_network_km,total_belowupstrbarriers_stream_km,total_belowupstrbarriers_lakereservoir_ha,total_belowupstrbarriers_wetland_ha,total_belowupstrbarriers_slopeclass03_waterbodies_km,total_belowupstrbarriers_slopeclass03_km,total_belowupstrbarriers_slopeclass05_km,total_belowupstrbarriers_slopeclass08_km,total_belowupstrbarriers_slopeclass15_km,total_belowupstrbarriers_slopeclass22_km,total_belowupstrbarriers_slopeclass30_km,salmon_network_km,salmon_stream_km,salmon_lakereservoir_ha,salmon_wetland_ha,salmon_slopeclass03_waterbodies_km,salmon_slopeclass03_km,salmon_slopeclass05_km,salmon_slopeclass08_km,salmon_slopeclass15_km,salmon_slopeclass22_km,salmon_slopeclass30_km,salmon_belowupstrbarriers_network_km,salmon_belowupstrbarriers_stream_km,salmon_belowupstrbarriers_lakereservoir_ha,salmon_belowupstrbarriers_wetland_ha,salmon_belowupstrbarriers_slopeclass03_waterbodies_km,salmon_belowupstrbarriers_slopeclass03_km,salmon_belowupstrbarriers_slopeclass05_km,salmon_belowupstrbarriers_slopeclass08_km,salmon_belowupstrbarriers_slopeclass15_km,salmon_belowupstrbarriers_slopeclass22_km,salmon_belowupstrbarriers_slopeclass30_km,steelhead_network_km,steelhead_stream_km,steelhead_lakereservoir_ha,steelhead_wetland_ha,steelhead_slopeclass03_waterbodies_km,steelhead_slopeclass03_km,steelhead_slopeclass05_km,steelhead_slopeclass08_km,steelhead_slopeclass15_km,steelhead_slopeclass22_km,steelhead_slopeclass30_km,steelhead_belowupstrbarriers_network_km,steelhead_belowupstrbarriers_stream_km,steelhead_belowupstrbarriers_lakereservoir_ha,steelhead_belowupstrbarriers_wetland_ha,steelhead_belowupstrbarriers_slopeclass03_waterbodies_km,steelhead_belowupstrbarriers_slopeclass03_km,steelhead_belowupstrbarriers_slopeclass05_km,steelhead_belowupstrbarriers_slopeclass08_km,steelhead_belowupstrbarriers_slopeclass15_km,steelhead_belowupstrbarriers_slopeclass22_km,steelhead_belowupstrbarriers_slopeclass30_km,wct_network_km,wct_stream_km,wct_lakereservoir_ha,wct_wetland_ha,wct_slopeclass03_waterbodies_km,wct_slopeclass03_km,wct_slopeclass05_km,wct_slopeclass08_km,wct_slopeclass15_km,wct_slopeclass22_km,wct_slopeclass30_km,wct_belowupstrbarriers_network_km,wct_belowupstrbarriers_stream_km,wct_belowupstrbarriers_lakereservoir_ha,wct_belowupstrbarriers_wetland_ha,wct_belowupstrbarriers_slopeclass03_waterbodies_km,wct_belowupstrbarriers_slopeclass03_km,wct_belowupstrbarriers_slopeclass05_km,wct_belowupstrbarriers_slopeclass08_km,wct_belowupstrbarriers_slopeclass15_km,wct_belowupstrbarriers_slopeclass22_km,wct_belowupstrbarriers_slopeclass30_km
2020-08-26,NA,1800092,"AI, KP",9,654311.977546607,6012382.71183954,Tributary to Buck Creek,Buck Flats FSR,NA,MoTi local,Round Culvert,1.5,12,No,NA,No,No,NA,1,0.4,1.2,No,1.5,5.1,3,No,Yes,Deep Fill,High,3.4,0,10,10,5,6,31,Barrier,Replace with New Open Bottom Structure,10,Large tributary on section of tributary connected to salmon bearing Buck Creek.  Fish rising in outlet pool (estimated 130mm).  Some cattle access points downstream.  Habitat confirmation conducted at this site.,pscis_phase1.xlsm,"c(958888.653795908, 1026149.68916758)",1,190013,NA,local,Buck Flats Rd,loose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,654311.977546607,6012382.711839538,1.2452057521889254e-4,1800092,0101000020BD0B000099DDBD4E51432D414942CA60CB502F41,MoTi,093L.109,NA,MoTi local,3320,NA,NA,1800092,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,17102820,360737479,28.04433593999299,400.431358.623573.329057,400.431358.623573.329057,BULK,0101000020BD0B00005274504E51432D4110D2BC60CB502F41,"{20899,20897,20889,20888,3971,20881,20934,20825,20900,20880,20873,20916,20841,2686,20839,20845,20883,20864,20882}",NA,NA,{RB},2,8,0.0341,2390.7079,22.14,18.28,0,129.43,3.37,4.3,6.73,4.03,1.66,0.63,0.97,20.52,17.03,0,120.67,3,3.89,5.89,4.03,1.66,0.63,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.96,16.37,0,127.13,3.37,4.3,6.46,4.03,1.36,0.23,0,18.34,15.12,0,118.37,NA,3.89,5.62,4.03,1.36,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
2020-08-26,NA,1805182,"KP, AI",9,675368.159950397,6004483.68258618,Tributary to Buck Creek,Parrot FSR,43.9,FLNR Nadina 9772,Pipe Arch,4.5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,0,3,0,0,0,0,3,Passable,NA,NA,Newly constructed passable structure.,pscis_phase1.xlsm,"c(979535.057559411, 1017340.11797967)",2,NA,NA,NA,NA,NA,NA,1497212,9772,01,OS,NA,HI,B40,Forest Service Road,00133887,DISTRICT MANAGER NADINA (DND),ACTIVE,9772 01 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,675368.159950397,6004483.682586181,1.2449701510784648e-4,1805182,0101000020BD0B00005FFC771D9EE42D41EA84573CF80B2F41,MoTi,093L.105,FLNR Nadina,FLNR Nadina 9772,6800,NA,NA,1805182,MODELLED_CROSSINGS,OBS,NA,PASSABLE,17107605,360704000,101.57761304276079,400.431358.623573.829593,400.431358.623573.829593,BULK,0101000020BD0B0000D886BF479FE42D4185D0CEDBEE0B2F41,"{20823,20899,20897,20889,20888,3971,20881,20934,20825,20900,20880,20873,20916,20841,2686,20839,20845,20883,20864,20882}",NA,{RB},NA,2,4,0.1025,188.7377,4.35,4.08,0,3.32,0.12,0.27,0.56,1.01,0.98,0.12,0.81,0.25,0.25,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69,2.57,0,1.06,0.12,0.27,0.41,0.87,0.98,0.05,0,0.25,0.25,0,0,NA,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
2020-08-26,NA,1805455,"AI, KP",9,675328.797935251,6004247.35833113,Tributary to Buck Creek,Spur off Parrot FSR,0.2,NA,Ford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,0,0,0,0,0,0,0,Unknown,NA,NA,Ford.  No issues.,pscis_phase1.xlsm,"c(979485.830610406, 1017105.02889082)",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,675328.7979352507,6004247.358331132,1.2450448500468664e-4,1805455,0101000020BD0B0000645345A93BE42D41EF76BA0E220A2F41,MoTi,093L.105,NA,NA,6922,NA,NA,1805455,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,17107605,360704000,350.90852652200846,400.431358.623573.829593,400.431358.623573.829593,BULK,0101000020BD0B00003D8946F83BE42D412D3A5B48230A2F41,"{6800,20823,20899,20897,20889,20888,3971,20881,20934,20825,20900,20880,20873,20916,20841,2686,20839,20845,20883,20864,20882}",NA,{RB},NA,2,4,0.0768,188.7377,4.1,3.83,0,3.32,0.12,0.27,0.56,1.01,0.73,0.12,0.81,0.55,0.55,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44,2.32,0,1.06,0.12,0.27,0.41,0.87,0.73,0.05,0,0.55,0.55,0,0,NA,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
2020-08-26,NA,1805183,"KP, AI",9,677098.7097093,6003221.438324,Buck Creek,Goosley North Rd,0.1,FLNR Nadina 9772,Bridge,4.7,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,0,3,0,0,0,0,3,Passable,NA,NA,Bridge.,pscis_phase1.xlsm,"c(981205.918284798, 1016001.94207222)",4,NA,NA,NA,NA,NA,NA,1497212,9772,01,OS,NA,HI,B40,Forest Service Road,00133887,DISTRICT MANAGER NADINA (DND),ACTIVE,9772 01 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,677098.7097093,6003221.438323995,1.245073667448237e-4,1805183,0101000020BD0B00006CFC28D6ABF12D41D6F946E283012F41,MoTi,093L.105,FLNR Nadina,FLNR Nadina 9772,6801,NA,NA,1805183,MODELLED_CROSSINGS,OBS,NA,PASSABLE,17107858,360508526,110.35916008496491,400.431358.623573.864197,400.431358.623573.864197,BULK,0101000020BD0B0000B0B350D8ADF12D4160A3B6E178012F41,"{5772,20823,20899,20897,20889,20888,3971,20881,20934,20825,20900,20880,20873,20916,20841,2686,20839,20845,20883,20864,20882}",NA,NA,{RB},2,3,0.10780000000000001,127.2105,3.8,3.8,NA,NA,0,0,0.53,0,1.09,1.01,0.86,0.05,0.05,0,0,0,0,0,0,0.05,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62,1.62,NA,NA,0,0,0.53,0,0.64,0.45,0,0.05,0.05,0,0,NA,0,0,0,0.04,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
2020-08-26,NA,1803661,"AI, KP",9,677101.139730856,6003176.94241586,Tributary to Buck Creek,Spur off Parrot FSR,0.1,Canfor R10460,Ford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,0,0,0,0,0,0,0,Unknown,NA,NA,Ford.  No issues.,pscis_phase1.xlsm,"c(981206.455709256, 1015957.26059259)",5,NA,NA,NA,NA,NA,NA,1367197,R10460,4,NA,NA,HI,B01,Road Permit,00001271,CANADIAN FOREST PRODUCTS LTD.,ACTIVE,R10460 4 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,677101.1397308558,6003176.942415864,1.2449176334233196e-4,1803661,0101000020BD0B0000D74852E9ACF12D41A8145C852A012F41,MoTi,093L.105,Canfor,Canfor R10460,5782,NA,NA,1803661,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,17107858,360508526,155.69112239687834,400.431358.623573.864197,400.431358.623573.864197,BULK,0101000020BD0B000025808548AEF12D4140BB1D6F1E012F41,"{6801,5772,20823,20899,20897,20889,20888,3971,20881,20934,20825,20900,20880,20873,20916,20841,2686,20839,20845,20883,20864,20882}",NA,NA,{RB},2,3,0.0964,127.2105,3.75,3.75,NA,NA,0,0,0.53,0,1.04,1.01,0.86,2.44,2.44,0,0,0,0,0.53,0,0.74,0.73,0.26,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57,1.57,NA,NA,0,0,0.53,0,0.6,0.45,0,1.57,1.57,0,0,NA,0,0.53,0,0.6,0.45,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
2020-08-26,NA,1800472,"KP, AI",9,678411.047086322,6002820.95651349,Tributary to Buck Creek,Parrot FSR,47.1,MoTi unclassified,Pipe Arch,7,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,0,3,0,0,0,0,3,Passable,NA,NA,Newly constructed passable structure.,pscis_phase1.xlsm,"c(982496.558020185, 1015544.91505957)",6,387582,NA,unclassified,NA,loose,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,678411.0470863224,6002820.956513492,1.2449519741702546e-4,1800472,0101000020BD0B00007A62B41DC1FB2D41586072D4F1FD2E41,MoTi,093L.105,NA,MoTi unclassified,3541,NA,NA,1800472,MODELLED_CROSSINGS,OBS,NA,PASSABLE,17108224,360818820,216.50134650068225,400.431358.623573.882933,400.431358.623573.882933,BULK,0101000020BD0B0000E4E1AF1DC1FB2D41BA1DFBD3F1FD2E41,"{6803,5772,20823,20899,20897,20889,20888,3971,20881,20934,20825,20900,20880,20873,20916,20841,2686,20839,20845,20883,20864,20882}",{6803},NA,{RB},2,7,0.0419,792.4335,11.94,10.33,0,13.73,1.26,0.43,4.53,3.78,1.27,0.67,0,7.26,6.53,0,5.99,0.69,0.05,2.79,2.29,1.05,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.64,10.03,0,13.73,1.26,0.43,4.53,3.78,1.27,0.37,0,7.25,6.52,0,5.99,NA,0.05,2.79,2.29,1.05,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
2020-08-26,NA,1802520,"AI, KP",9,672022.983697628,6005199.61528154,Tributary to Buck Creek,Spur off Parrot FSR,NA,R216960010,Round Culvert,1,10,No,NA,No,No,NA,1.2,0,0.42,No,1,1.4,5,Yes,No,Deep Fill,Medium,1.4,0,10,0,5,6,21,Barrier,Replace Structure with Streambed Simulation CBS,3,Stream drains Sam Lake.  Old log bridge type stucture tha is collaping with round culvert inserted.  Pipe contains beaver debris. Wetland habitat upstream.,pscis_phase1.xlsm,"c(976232.238077558, 1018199.64552327)",7,NA,NA,NA,NA,NA,NA,966047,R21696,001,NA,NA,HI,B01,Road Permit,00147229,WET'SUWET'EN VENTURES LTD,ACTIVE,R21696 001 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,672022.9836976279,6005199.615281543,1.2450557966870563e-4,1802520,0101000020BD0B000003DBE479D0CA2D418AB6714AAF122F41,MoTi,093L.105,NA,NA,5006,NA,NA,1802520,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,17107208,360854760,1580.3974221731762,400.431358.623573.788386,400.431358.623573.788386.213438,BULK,0101000020BD0B0000494B7ADFCFCA2D41493F4689AF122F41,"{3835,20823,20899,20897,20889,20888,3971,20881,20934,20825,20900,20880,20873,20916,20841,2686,20839,20845,20883,20864,20882}",{3835},NA,NA,2,3,0.026,543.1004,5.46,3.89,0,12.85,1.57,2.82,0.31,0.33,0.09,0.35,0,2.37,1.13,0,7.36,1.25,0.83,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.11,3.55,0,12.85,1.57,2.82,0.31,0.33,0.09,0,0,2.37,1.14,0,7.36,NA,0.83,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
2020-08-26,NA,1804986,"KP, AI",9,651263.501532512,6012508.45581071,Tributary to Buck Creek,Carrier FSR,15.5,FLNR Nadina 9772,Round Culvert,1,16,No,NA,No,No,NA,1.8,0.3,0,No,1.5,1.5,2,No,No,Deep Fill,Low,1.5,3,10,10,5,6,34,Barrier,Replace Structure with Streambed Simulation CBS,3,Suspect no fish.  Multiple fish survey sites located downstream.  Dry at time of survey.,pscis_phase1.xlsm,"c(955856.248846807, 1026405.32249378)",8,NA,NA,NA,NA,NA,NA,1532709,9772,02,OS,NA,HI,B40,Forest Service Road,00133887,DISTRICT MANAGER NADINA (DND),ACTIVE,9772 02 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,651263.5015325118,6012508.455810712,1.2452046385332642e-4,1804986,0101000020BD0B0000785F687FA02B2D4104970DA5CA522F41,MoTi,093L.109,FLNR Nadina,FLNR Nadina 9772,6654,NA,NA,1804986,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,17102525,360665229,194.21276341773108,400.431358.623573.329057.438212,400.431358.623573.329057.438212,BULK,0101000020BD0B0000CBA0B0AB8E2B2D4165EB817AB8522F41,"{3502,20904,3320,20899,20897,20889,20888,3971,20881,20934,20825,20900,20880,20873,20916,20841,2686,20839,20845,20883,20864,20882}","{3502,3320}",NA,NA,1,1,0.0172,NA,1.78,1.3,0,10.33,0.26,1.3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78,1.3,0,10.33,0.26,1.3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-26,NA,1804153,"KP, AI",9,653554,6015856,Tributary to Buck Creek,Balsam FSR,NA,FLNR Nadina 9486,Bridge,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,0,0,0,0,0,0,0,Passable,NA,NA,Bridge. No issues.,pscis_phase1.xlsm,"c(958280.623489046, 1029661.99286217)",9,NA,NA,NA,NA,NA,NA,994292,9486,01,BC,NA,HI,B40,Forest Service Road,00133887,DISTRICT MANAGER NADINA (DND),ACTIVE,9486 01 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,653549.1514498898,6015867.755201523,12.743532788090334,1804154,0101000020BD0B0000576DC494883E2D418A254EF4536C2F41,MoTi,093L.109,FLNR Nadina,FLNR Nadina 9486,6094,NA,NA,1804154,MODELLED_CROSSINGS,CBS,NA,POTENTIAL,17100797,360885738,989.4200845659955,400.431358.623573.252376,400.431358.623573.252376.077139,BULK,0101000020BD0B000011010394883E2D416E32E5F3536C2F41,"{20888,3971,20881,20934,20825,20900,20880,20873,20916,20841,2686,20839,20845,20883,20864,20882}",NA,{RB},NA,3,6,0.0542,1087.5065,11.62,10.31,0,24.48,1.17,0.1,2.79,5.26,0.63,0.88,0.76,10.84,9.7,0,23.45,1,0.1,2.18,5.26,0.63,0.88,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.77,7.63,0,23.45,1.01,0.1,2.18,5.26,0,0.22,0,8.77,7.63,0,23.45,NA,0.1,2.18,5.26,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
2020-08-26,NA,1804151,"KP, AI",9,652876.146480266,6017366.78838726,Tributary to Buck Creek,Balsam FSR,NA,FLNR Nadina 9486,Bridge,5.5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,NA,NA,0,0,0,0,0,0,0,Passable,NA,NA,Bridge. No issues.,pscis_phase1.xlsm,"c(957669.235751274, 1031204.57230028)",10,NA,NA,NA,NA,NA,NA,994292,9486,01,BC,NA,HI,B40,Forest Service Road,00133887,DISTRICT MANAGER NADINA (DND),ACTIVE,9486 01 0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,652876.1464802657,6017366.788387259,1.2452806973742395e-4,1804151,0101000020BD0B0000C8EAB378CA392D411F3AF42449782F41,MoTi,093L.109,FLNR Nadina,FLNR Nadina 9486,6091,NA,NA,1804151,MODELLED_CROSSINGS,OBS,NA,PASSABLE,17099868,360773410,915.727917592388,400.431358.623573.236484,400.431358.623573.236484,BULK,0101000020BD0B000065EDF77ACA392D41415EBC2549782F41,"{20888,3971,20881,20934,20825,20900,20880,20873,20916,20841,2686,20839,20845,20883,20864,20882}",NA,{RB},{RB},2,4,0.0744,755.8565,11.4,9.87,0,17.78,1.12,1.64,2.05,3.71,2.58,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53,6.1,0,8.49,0.44,1.54,0.86,3.62,0.07,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
