FSHBSTCLPN,obstacle_name,BSTCLNM,gazetted_name,GZTTDNM,UTM_ZONE,TMSTNG,TMNRTHNG,utm_zone,utm_easting,utm_northing,last_updated,geometry
9974,NA,Culvert,NA,NA,11,405144,5530130,NA,NA,NA,NA,"c(405144.000451984, 5530130.00042757, 0)"
16375,Cascade/Chute,Dam,NA,CEDAR CREEK,11,294663,5464002,9,564200,6209000,2021-02-11,"c(294663.000453127, 5464002.00022203, 0)"
16376,Cascade/Chute,Cascade/Chute,NA,CEDAR CREEK,11,293937,5464581,9,565500,6208700,2021-02-11,"c(293936.999723017, 5464581.00040464, 0)"
16981,Cascade/Chute,Culvert,NA,NA,11,313222,5565075,10,525429,5614389,2021-02-11,"c(313222.000472861, 5565075.00036942, 0)"
17079,Falls,Cascade/Chute,THAUTIL RIVER,CEDAR CREEK,11,293937,5464581,9,608800,6032800,2021-02-11,"c(293936.999723017, 5464581.00040464, 0)"
17080,Gradient,Rock,NA,CEDAR CREEK,11,293937,5464581,10,331600,6084010,2021-02-11,"c(293936.999723017, 5464581.00040464, 0)"
17264,Culvert,Cascade/Chute,NA,NA,9,597500,6034700,9,634700,6118400,2021-02-11,"c(-179321.786330546, 6084524.1275619, 0)"
17424,Log Jam,Beaver Dams,NAHSHUTTI CREEK,NA,11,425580,5692868,9,576426,5622144,2021-02-11,"c(425580.000354885, 5692867.99996753, 0)"
17425,Falls,Beaver Dams,KAINS CREEK,NA,11,425580,5692868,9,588131,5616739,2021-02-11,"c(425580.000354885, 5692867.99996753, 0)"
17508,Falls,Log Jam,NA,NA,10,326448,5435984,11,567564,5520757,2021-02-11,"c(-111642.723371404, 5467144.16074055, 0)"
17589,Cascade/Chute,Falls,NA,NA,9,595900,6028900,9,597500,6034700,2021-02-11,"c(-181899.277331093, 6079050.4351331, 0)"
17776,Culvert,Cascade/Chute,FENTON CREEK,CEDAR CREEK,11,293937,5464581,9,637500,6008200,2021-02-11,"c(293936.999723017, 5464581.00040464, 0)"
17991,Cascade/Chute,Beaver Dams,HUGH ALLAN CREEK,NA,10,693800,5743100,11,402308,5808656,2021-02-11,"c(280155.317465027, 5744172.73161901, 0)"
18128,Cascade/Chute,Beaver Dams,NA,NA,11,425580,5692868,9,568100,6194300,2021-02-11,"c(425580.000354885, 5692867.99996753, 0)"
18203,Log Jam,Cascade/Chute,NA,NA,11,605655,5599045,11,415934,5552846,2021-02-11,"c(605654.999684845, 5599045.00023227, 0)"
18288,Culvert,Log Jam,NA,NA,9,597500,6034700,11,465808,5545224,2021-02-11,"c(-179321.786330546, 6084524.1275619, 0)"
18462,Cascade/Chute,Falls,NA,NA,10,597276,6084077,10,306020,6036040,2021-02-11,"c(212559.228912182, 6092231.42542346, 0)"
18531,Not Specified,Culvert,NA,MILL STREAM,10,465604,5366751,11,619747,5600858,2021-02-11,"c(22085.5992588571, 5386866.91961661, 0)"
18591,Log Jam,Dam,TOWN CREEK,ALTA CREEK,10,501774,5552651,11,447210,5623151,2021-02-11,"c(73035.5255461804, 5569765.2437626, 0)"
18605,Cascade/Chute,Dam,NA,ELBOW LAKE,10,575148,5457957,11,295637,5610977,2021-02-11,"c(138735.517541515, 5469323.72097834, 0)"
18621,Falls,Falls,HANAWALD CREEK,NA,10,510439,5497035,9,615420,6181800,2021-02-11,"c(77226.8138150463, 5513509.34860299, 0)"
18663,Cascade/Chute,Falls,NA,MILL STREAM,10,465604,5366751,9,621200,6079600,2021-02-11,"c(22085.5992588571, 5386866.91961661, 0)"
18671,Cascade/Chute,Falls,WINDY CREEK,MILL STREAM,10,465438,5366438,11,425256,5741998,2021-02-11,"c(21895.0251034329, 5386567.07081615, 0)"
18887,Log Jam,Falls,NA,NA,10,646554,5866920,11,598244,5470034,2021-02-11,"c(243320.027807184, 5871525.3996332, 0)"
18953,Falls,Falls,NOKE CREEK,NA,10,660178,5734508,11,573254,5473225,2021-02-11,"c(245930.399459821, 5738371.8125747, 0)"
19472,Velocity barrier,Cascade,RASMUSSEN CREEK,ABBOTT CREEK,10,623137,5825729,10,366939,5681231,2021-02-11,"c(216535.287254719, 5832401.84574948, 0)"
19113,Log Jam,Falls,NA,NA,10,524021,5663155,11,434614,5457803,2021-02-11,"c(104221.305139421, 5678330.30654317, 0)"
19123,NA,Culvert,NA,NA,10,511422,5441072,NA,NA,NA,NA,"c(73749.3588928885, 5457521.69701244, 0)"
19497,BEAVER DAM,Falls,DEIGHTON CREEK,ELBOW LAKE,10,575148,5457957,10,394439,5516568,2021-02-11,"c(138735.517541515, 5469323.72097834, 0)"
19572,Cascade,Persistent debris; present for several years,DOUGLAS CREEK,MOSQUITO LAKE,10,518103,5576133,10,561604,5514316,2021-02-11,"c(91241.1800315415, 5591903.61503263, 0)"
19404,Falls,Falls,MAMQUAM RIVER,MILL STREAM,10,465604,5366751,10,498332,5507383,2021-02-11,"c(22085.5992588571, 5386866.91961661, 0)"
19407,Falls,Falls,NA,MILL STREAM,10,465604,5366751,10,582545,5436479,2021-02-11,"c(22085.5992588571, 5386866.91961661, 0)"
15717,NA,Log Jam,NA,NA,10,326537,5435967,NA,NA,NA,NA,"c(-111554.983114547, 5467120.05060902, 0)"
15789,NA,Falls,NA,NA,9,595900,6028900,NA,NA,NA,NA,"c(-181899.277331093, 6079050.4351331, 0)"
16508,Falls,Culvert,NA,NA,11,569983,5476613,9,633000,6127900,2021-02-11,"c(569983.000056502, 5476613.00025366, 0)"
16009,NA,Cascade/Chute,NA,NA,10,335530,6072860,NA,NA,NA,NA,"c(-49744.8809762941, 6103501.18884188, 0)"
16735,Beaver Dams,Beaver Dams,NA,NA,11,425580,5692868,10,461371,6118077,2021-02-11,"c(425580.000354885, 5692867.99996753, 0)"
16142,NA,Log Jam,NA,ILTZUL CREEK,9,603600,6135900,NA,NA,NA,NA,"c(-155875.177820706, 6183716.8036335, 0)"
16277,NA,Log Jam,NA,NA,11,651714,5436941,NA,NA,NA,NA,"c(651714.000192018, 5436941.00004197, 0)"
20264,Cascade,Falls,BRÃ›LÃ‰ CREEK,NA,10,659518,5733210,11,648465,5527386,2021-02-11,"c(245165.620287101, 5737131.82970618, 0)"
20270,Persistent debris; present for several years,Falls,NICOMEN LAKE,ABBOTT CREEK,10,622959,5824581,10,655725,5454893,2021-02-11,"c(216262.291325724, 5831271.70075954, 0)"
21624,Falls,BEAVER DAM,NA,NA,10,576964,6003881,9,421752,6061704,2021-02-11,"c(185457.776522621, 6013978.97854233, 0)"
22282,BEAVER DAM,Rock,NATAZUTLO CREEK,COLDWATER CREEK,9,523175,6019835,10,348386,6098061,2021-02-11,"c(-255567.959285781, 6082506.67472693, 0)"
22296,BEAVER DAM,Rock,NA,NA,9,451740,6026481,10,498456,5946070,2021-02-11,"c(-325359.9988848, 6101361.92876019, 0)"
22306,BEAVER DAM,Rock,FIRTH CREEK,NA,9,451751,6026602,10,524692,6075594,2021-02-11,"c(-325328.273300834, 6101480.26240134, 0)"
22329,BEAVER DAM,Rock,NA,NA,9,451763,6027094,10,480295,6155290,2021-02-11,"c(-325231.789480167, 6101967.04441458, 0)"
22330,BEAVER DAM,Rock,NA,NA,9,451783,6026903,10,472483,6069696,2021-02-11,"c(-325244.74648953, 6101773.83178082, 0)"
22598,BEAVER DAM,Falls,MCCLAIR CREEK,NAGLE CREEK,11,390190,5768400,9,611904,6370165,2021-02-11,"c(390190.000153489, 5768400.00031708, 0)"
22828,BEAVER DAM,BEAVER DAM,SKUNSNAT CREEK,NA,9,336139,6338820,9,551293,6168796,2021-02-11,"c(-385553.426398351, 6431916.99020994, 0)"
22836,Cascade,BEAVER DAM,REISETER CREEK,MONSOON CREEK,9,373895,6283646,9,614725,6086490,2021-02-11,"c(-357841.478395208, 6370409.15554672, 0)"
22837,Cascade,BEAVER DAM,MANY BEAR CREEK,NA,9,336139,6338820,9,568294,6047969,2021-02-11,"c(-385553.426398351, 6431916.99020994, 0)"
23113,Cascade,BEAVER DAM,NA,MONSOON CREEK,9,373895,6283646,10,443079,5386208,2021-02-11,"c(-357841.478395208, 6370409.15554672, 0)"
23120,Cascade,BEAVER DAM,NA,NA,9,336139,6338820,10,408911,5428837,2021-02-11,"c(-385553.426398351, 6431916.99020994, 0)"
23125,Cascade,BEAVER DAM,ROSEWALL CREEK,MONSOON CREEK,9,373895,6283646,10,368829,5478644,2021-02-11,"c(-357841.478395208, 6370409.15554672, 0)"
