Scientific Name,Species Name,Species Code,BC List,Provincial FRPA,COSEWIC,SARA,Bulkley,Morice
Catostomus catostomus,Longnose Sucker,LSU,Yellow,NA,NA,NA,Yes,Yes
Catostomus commersonii,White Sucker,WSU,Yellow,NA,NA,NA,Yes,Yes
Catostomus macrocheilus,Largescale Sucker,CSU,Yellow,NA,NA,NA,Yes,Yes
Chrosomus eos,Northern Redbelly Dace,RDC,Yellow,NA,NA,NA,Yes,NA
Coregonus clupeaformis,Lake Whitefish,LW,Yellow,NA,NA,NA,Yes,Yes
Cottus aleuticus,Coastrange Sculpin (formerly Aleutian Sculpin),CAL,Yellow,NA,NA,NA,Yes,Yes
Cottus asper,Prickly Sculpin,CAS,Yellow,NA,NA,NA,Yes,Yes
Couesius plumbeus,Lake Chub,LKC,Yellow,NA,DD,NA,Yes,Yes
Entosphenus tridentatus,Pacific Lamprey,PL,Yellow,NA,NA,NA,Yes,Yes
Hybognathus hankinsoni,Brassy Minnow,BMC,No Status,NA,NA,NA,Yes,NA
Lota lota,Burbot,BB,Yellow,NA,NA,NA,Yes,Yes
Mylocheilus caurinus,Peamouth Chub,PCC,Yellow,NA,NA,NA,Yes,Yes
Oncorhynchus clarkii,Cutthroat Trout,CT,No Status,NA,NA,NA,Yes,Yes
Oncorhynchus clarkii,Cutthroat Trout (Anadromous),ACT,No Status,NA,NA,NA,Yes,NA
Oncorhynchus clarkii clarkii,Coastal Cutthroat Trout,CCT,Blue,NA,NA,NA,Yes,Yes
Oncorhynchus gorbuscha,Pink Salmon,PK,Yellow,NA,NA,NA,Yes,Yes
Oncorhynchus keta,Chum Salmon,CM,Yellow,NA,NA,NA,Yes,Yes
Oncorhynchus kisutch,Coho Salmon,CO,Yellow,NA,NA,NA,Yes,Yes
Oncorhynchus mykiss,Rainbow Trout,RB,Yellow,NA,NA,NA,Yes,Yes
Oncorhynchus mykiss,Steelhead,ST,Yellow,NA,NA,NA,Yes,Yes
Oncorhynchus mykiss,Steelhead (Summer-run),SST,Yellow,NA,NA,NA,Yes,Yes
Oncorhynchus nerka,Kokanee,KO,Yellow,NA,NA,NA,Yes,Yes
Oncorhynchus nerka,Sockeye Salmon,SK,Yellow,NA,NA,NA,Yes,Yes
Oncorhynchus tshawytscha,Chinook Salmon,CH,Yellow,NA,NA,NA,Yes,Yes
Prosopium coulterii,Pygmy Whitefish,PW,Yellow,NA,NAR (Nov 2016),NA,Yes,Yes
Prosopium coulterii pop. 3,Giant Pygmy Whitefish,GPW,Yellow,NA,NA,NA,Yes,NA
Prosopium williamsoni,Mountain Whitefish,MW,Yellow,NA,NA,NA,Yes,Yes
Ptychocheilus oregonensis,Northern Pikeminnow,NSC,Yellow,NA,NA,NA,Yes,Yes
Pungitius pungitius,Ninespine Stickleback,NSB,Unknown,NA,NA,NA,Yes,NA
Rhinichthys cataractae,Longnose Dace,LNC,Yellow,NA,NA,NA,Yes,Yes
Rhinichthys falcatus,Leopard Dace,LDC,Yellow,NA,NAR (May 1990),NA,NA,Yes
Richardsonius balteatus,Redside Shiner,RSC,Yellow,NA,NA,NA,Yes,Yes
Salvelinus confluentus pop. 26,Bull Trout,BT,Blue,NA,NA,NA,Yes,Yes
Salvelinus fontinalis,Brook Trout,EB,Exotic,NA,NA,NA,Yes,Yes
Salvelinus malma,Dolly Varden,DV,Yellow,NA,NA,NA,Yes,Yes
Salvelinus namaycush,Lake Trout,LT,Yellow,NA,NA,NA,Yes,Yes
NA,Arctic Char,AC,NA,NA,NA,NA,NA,Yes
NA,Cutthroat/Rainbow cross,CRS,NA,NA,NA,NA,Yes,NA
NA,Dace (General),DC,NA,NA,NA,NA,NA,Yes
NA,Lamprey (General),L,NA,NA,NA,NA,Yes,Yes
NA,Minnow (General),C,NA,NA,NA,NA,Yes,Yes
NA,Salmon (General),SA,NA,NA,NA,NA,Yes,Yes
NA,Sculpin (General),CC,NA,NA,NA,NA,Yes,Yes
NA,Sucker (General),SU,NA,NA,NA,NA,Yes,Yes
NA,Whitefish (General),WF,NA,NA,NA,NA,Yes,Yes
