fish_observation_point_id,gradient,stream_order,upstream_area_ha,channel_width,species_code,elevation
275994,0.0474,3,312.1612,2.4,CT,735
275995,0.0474,3,312.1612,2.4,CT,735
212322,0.0912,3,345.8407,4.8,CT,711
275987,0.1116,2,61.0168,2.6,CT,789
288287,0.0057,5,7235.5129,9.32,CO,467
288287,0.0052,5,7235.5129,9.32,CO,467
288285,0.013,5,7235.5129,9.32,RB,467
288136,0.0159,5,7235.5129,9.32,CO,471
288138,0.0159,5,7235.5129,9.32,DV,471
288139,0.0159,5,7235.5129,9.32,DV,471
288141,0.0159,5,7235.5129,9.32,RB,471
288124,0.0083,5,7235.5129,9.32,RB,475
288124,0.023,5,7235.5129,9.32,RB,475
261683,0,5,7144.3585,9.32,RB,477
261683,0.0039,5,7144.3585,9.32,RB,477
132972,0.0225,3,965.8728,6.13,CO,479
132974,0.0225,3,965.8728,6.13,CO,479
132976,0.0225,3,965.8728,6.13,RB,479
109633,0.0404,2,71.3269,1.2,CO,480
109634,0.0404,2,71.3269,1.2,RB,480
288292,0.0036,5,6162.2354,NA,CT,479
288292,0.0141,5,6162.2354,NA,CT,479
288296,0.0036,5,6162.2354,NA,PK,479
288296,0.0141,5,6162.2354,NA,PK,479
278182,0.0612,3,140.3948,4.1,CT,693
212334,0.0952,3,793.9792,5.35,DV,540
212335,0.1354,3,793.9792,5.35,DV,723
260379,0.0041,4,2960.3871,6.38,ST,484
292187,0.0041,4,2960.3871,6.38,CT,484
4958,0,4,2944.9973,NA,SK,484
4958,0,4,2944.9973,NA,SK,484
232132,0,4,2944.9973,NA,RB,484
232132,0,4,2944.9973,NA,RB,484
282783,0.0024,4,2478.4717,7.7,CO,484
282783,0.0216,4,2478.4717,7.7,CO,484
301800,0.0169,4,2478.4717,7.7,CO,498
301800,0.0236,4,2478.4717,7.7,CO,498
301805,0.0169,4,2478.4717,7.7,PK,498
301805,0.0236,4,2478.4717,7.7,PK,498
301809,0,1,NA,NA,CT,484
233277,0,3,1078.1644,NA,CO,484
233277,0,3,1078.1644,NA,CO,484
243022,0.0307,4,10742.263,13,CO,445
301817,0.0334,4,10742.263,13,RB,455
301817,0.0307,4,10742.263,13,RB,455
301818,0.0334,4,10742.263,13,CO,455
301818,0.0307,4,10742.263,13,CO,455
231165,0.0334,4,10742.263,13,CH,500
231165,0.0228,4,10742.263,13,CH,500
231166,0.0244,4,10742.263,13,CO,518
212339,0.1381,2,265.817,1.8,DV,832
231140,0.0184,3,1205.6934,6.54,CO,520
212345,0.0818,3,428.9088,5.4,DV,1036
233280,0.0313,2,187.814,7.4,CT,514
275901,0.0312,2,187.814,7.4,CT,532
275901,0.0272,2,187.814,7.4,CT,532
232157,0,2,83.0803,NA,RB,502
318587,0,2,83.0803,NA,CT,502
329907,0,2,83.0803,NA,RB,502
363836,0,2,83.0803,NA,RB,502
365660,0,2,83.0803,NA,CT,502
375511,0,2,83.0803,NA,RB,502
376312,0,2,83.0803,NA,CT,502
192489,3e-4,8,924354.1333,28.18,ST,446
192489,0.0017,8,924354.1333,28.18,ST,446
192449,3e-4,8,924354.1333,28.18,ST,446
192449,0,8,924354.1333,28.18,ST,446
192452,3e-4,8,924354.1333,28.18,ST,446
192452,0,8,924354.1333,28.18,ST,446
243023,0.0315,6,25755.9395,11.25,CO,447
243023,0.0315,6,25755.9395,11.25,CO,447
243026,0.0315,6,25755.9395,11.25,RB,447
243026,0.0315,6,25755.9395,11.25,RB,447
192466,0,8,898010.7783,28.04,ST,447
192466,0.0032,8,898010.7783,28.04,ST,447
