species_code,Width,width_id,Count,total_spp,Percent
BT,0 - 5m,5,11,60,18
BT,05 - 10m,10,13,60,22
BT,10 - 15m,15,5,60,8
BT,15 - 20m,20,5,60,8
BT,20m+,99,4,60,7
BT,NA,NA,22,60,37
CH,0 - 5m,5,20,248,8
CH,05 - 10m,10,54,248,22
CH,10 - 15m,15,54,248,22
CH,15 - 20m,20,34,248,14
CH,20m+,99,74,248,30
CH,NA,NA,12,248,5
CM,0 - 5m,5,2,4,50
CM,NA,NA,2,4,50
CO,0 - 5m,5,107,577,19
CO,05 - 10m,10,190,577,33
CO,10 - 15m,15,87,577,15
CO,15 - 20m,20,48,577,8
CO,20m+,99,75,577,13
CO,NA,NA,70,577,12
CT,0 - 5m,5,92,440,21
CT,05 - 10m,10,71,440,16
CT,10 - 15m,15,27,440,6
CT,15 - 20m,20,22,440,5
CT,20m+,99,22,440,5
CT,NA,NA,206,440,47
DV,0 - 5m,5,169,603,28
DV,05 - 10m,10,191,603,32
DV,10 - 15m,15,68,603,11
DV,15 - 20m,20,28,603,5
DV,20m+,99,46,603,8
DV,NA,NA,101,603,17
PK,0 - 5m,5,6,93,6
PK,05 - 10m,10,24,93,26
PK,10 - 15m,15,13,93,14
PK,15 - 20m,20,18,93,19
PK,20m+,99,28,93,30
PK,NA,NA,4,93,4
RB,0 - 5m,5,219,1200,18
RB,05 - 10m,10,215,1200,18
RB,10 - 15m,15,110,1200,9
RB,15 - 20m,20,40,1200,3
RB,20m+,99,84,1200,7
RB,NA,NA,532,1200,44
SK,0 - 5m,5,2,27,7
SK,05 - 10m,10,2,27,7
SK,10 - 15m,15,4,27,15
SK,15 - 20m,20,4,27,15
SK,20m+,99,7,27,26
SK,NA,NA,8,27,30
ST,0 - 5m,5,21,579,4
ST,05 - 10m,10,131,579,23
ST,10 - 15m,15,49,579,8
ST,15 - 20m,20,159,579,27
ST,20m+,99,200,579,35
ST,NA,NA,19,579,3
