reference_number,gazetted_name,alias_local_name,site,watershed_code_50k,watershed_code_50k_parsed,utm_zone,utm_easting,utm_northing,lon,lat
1,Unnamed tributary to Blunt Creek,123794_ds,123794,460081700439004590066000000000000000000000000,460-081700-43900-45900-6600-0000-000-000-000-000-000-000,9,616417,6106843,-127.17568710283106,55.09463901000551
2,Unnamed tributary to Blunt Creek,123795_ds,123795,,,9,615882,6106307,-127.18428435201577,55.0899500112217
3,Unnamed tributary to Blunt Creek,123794_us,123794,460081700439004590066000000000000000000000000,460-081700-43900-45900-6600-0000-000-000-000-000-000-000,9,616100,6106763,-127.18068449302257,55.09399474089042
4,Unnamed tributary to Blunt Creek,123795_us,123795,,,9,615760,6106892,-127.18595691780015,55.09523282228144
5,Porphyry Creek,124487_us,124487,460125600000000000000000000000000000000000000,460-125600-00000-00000-0000-0000-000-000-000-000-000-000,9,603073,6113363,-127.38232922276303,55.156157346747165
6,Porphyry Creek,124487_ds,124487,460125600000000000000000000000000000000000000,460-125600-00000-00000-0000-0000-000-000-000-000-000-000,9,603218,6113399,-127.38004143840593,55.156450510261784
7,Unnamed Tributary to Buck Creek,197640_ds,197640,460636000366640000000000000000000000000000000,460-636000-36664-00000-0000-0000-000-000-000-000-000-000,9,654400,6012372,-126.63089642327681,54.23601383879482
8,Unnamed Tributary to Buck Creek,197640_us,197640,460636000366640000000000000000000000000000000,460-636000-36664-00000-0000-0000-000-000-000-000-000-000,9,654312,6012383,-126.63223975639663,54.23613913856608
9,Byman Creek,197658_us,197658,460750400000000000000000000000000000000000000,460-750400-00000-00000-0000-0000-000-000-000-000-000-000,9,666847,6044305,-126.42220378644167,54.51881518741461
10,Byman Creek,197658_ds2,197658,460750400000000000000000000000000000000000000,460-750400-00000-00000-0000-0000-000-000-000-000-000-000,9,665471,6043766,-126.44374190702375,54.5144269847355
11,Byman Creek,197658_ds1,197658,460750400000000000000000000000000000000000000,460-750400-00000-00000-0000-0000-000-000-000-000-000-000,9,666540,6044240,-126.42697835335055,54.518332567935616
12,Richfield Creek,197662_us,197662,460788200000000000000000000000000000000000000,460-788200-00000-00000-0000-0000-000-000-000-000-000-000,9,672405,6044146,-126.33652654277708,54.51552798903984
13,Richfield Creek,197662_ds,197662,460788200000000000000000000000000000000000000,460-788200-00000-00000-0000-0000-000-000-000-000-000-000,9,672294,6043866,-126.33840286505122,54.51305204016001
14,Barren Creek,197664_us,197664,460704700000000000000000000000000000000000000,460-704700-00000-00000-0000-0000-000-000-000-000-000-000,9,660454,6037919,-126.52434048523492,54.46354076066039
15,Barren Creek,197664_ds,197664,460704700000000000000000000000000000000000000,460-704700-00000-00000-0000-0000-000-000-000-000-000-000,9,660599,6037832,-126.52215280417778,54.46271377800654
16,Barren Creek,197665_ds,197665,460000000000000000000000000000000000000000000,460-000000-00000-00000-0000-0000-000-000-000-000-000-000,9,660652,6037807,-126.52134949947441,54.4624725478026
17,Tyhee Creek,123445_ds,123445,460430900000000000000000000000000000000000000,460-430900-00000-00000-0000-0000-000-000-000-000-000-000,9,627056,6061392,-127.02911142548372,54.683823913538156
18,Tyhee Creek,123445_us,123445,460430900000000000000000000000000000000000000,460-430900-00000-00000-0000-0000-000-000-000-000-000-000,9,627238,6061456,-127.02626220865932,54.68435280044978
19,Tyhee Creek,123446_us,123446,460430900000000000000000000000000000000000000,460-430900-00000-00000-0000-0000-000-000-000-000-000-000,9,627527,6061771,-127.02164451867056,54.687108908639196
20,Helps Creek,124500_us,124500,460437000000000000000000000000000000000000000,460-437000-00000-00000-0000-0000-000-000-000-000-000-000,9,627552,6058697,-127.02259934945755,54.65949329760879
21,Helps Creek,124500_ds,124500,460437000000000000000000000000000000000000000,460-437000-00000-00000-0000-0000-000-000-000-000-000-000,9,627616,6058995,-127.02147773244701,54.66215361093906
22,Moan Creek,124501_us,124501,460458800000000000000000000000000000000000000,460-458800-00000-00000-0000-0000-000-000-000-000-000-000,9,630661,6055713,-126.97576706269501,54.63189699000007
23,Moan Creek,124501_ds,124501,460458800000000000000000000000000000000000000,460-458800-00000-00000-0000-0000-000-000-000-000-000-000,9,631015,6055948,-126.97018147457038,54.633915842482644
24,Coffin Creek,197668_ds,197668,460472700000000000000000000000000000000000000,460-472700-00000-00000-0000-0000-000-000-000-000-000-000,9,634432,6054663,-126.91786989717518,54.621476688256664
25,Coffin Creek,124504_us,124504,460472700000000000000000000000000000000000000,460-472700-00000-00000-0000-0000-000-000-000-000-000-000,9,634323,6054587,-126.91959172977434,54.62082313440534
26,Barren Creek,3042_us,3042,460704700000000000000000000000000000000000000,460-704700-00000-00000-0000-0000-000-000-000-000-000-000,9,654451,6042827,-126.61430508959303,54.50947259309293
27,Barren Creek,3042_ds,3042,460704700000000000000000000000000000000000000,460-704700-00000-00000-0000-0000-000-000-000-000-000-000,9,654695,6042901,-126.61050102847972,54.51006268329195
28,Tributary to McQuarrie Creek,3139_ds,3139,460744900443000000000000000000000000000000000,460-744900-44300-00000-0000-0000-000-000-000-000-000-000,9,656504,6048327,-126.57970333219004,54.55822817588727
29,Tributary to McQuarrie Creek,3139_us,3139,460744900443000000000000000000000000000000000,460-744900-44300-00000-0000-0000-000-000-000-000-000-000,9,656657,6048544,-126.57722400447624,54.56012929712151
30,Johnny David Creek,3054_ds,3054,460778000760020000000000000000000000000000000,460-778000-76002-00000-0000-0000-000-000-000-000-000-000,9,665121,6052477,-126.44425487931399,54.592749830194165
31,Johnny David Creek,3054_us,3054,460778000760020000000000000000000000000000000,460-778000-76002-00000-0000-0000-000-000-000-000-000-000,9,664881,6052688,-126.44784699192557,54.59472254462493
32,Johnny David Creek,197663_us,197663,460778000000000000000000000000000000000000000,460-778000-00000-00000-0000-0000-000-000-000-000-000-000,9,670241,6044772,-126.36955733829349,54.52187929937557
33,Johnny David Creek,197663_ds,197663,460778000000000000000000000000000000000000000,460-778000-00000-00000-0000-0000-000-000-000-000-000-000,9,670281,6044511,-126.3690907340444,54.519522694657354
34,McDowell Creek,58159_ds,58159,460435300000000000000000000000000000000000000,460-435300-00000-00000-0000-0000-000-000-000-000-000-000,9,627533,6060447,-127.02212988045116,54.675215835027686
35,McDowell Creek,58159_us,58159,460435300000000000000000000000000000000000000,460-435300-00000-00000-0000-0000-000-000-000-000-000-000,9,627643,6060449,-127.02042418070918,54.67520594912867
36,Gibson Creek,195290_ds,195290,460496100087000000000000000000000000000000000,460-496100-08700-00000-0000-0000-000-000-000-000-000-000,9,639884,6051622,-126.83494348719407,54.592685904045396
37,Gibson Creek,195290_us,195290,460496100087000000000000000000000000000000000,460-496100-08700-00000-0000-0000-000-000-000-000-000-000,9,640014,6051697,-126.83289723288249,54.593323457994785
38,Gibson Creek,195288_ds,195288,460496100087000000000000000000000000000000000,460-496100-08700-00000-0000-0000-000-000-000-000-000-000,9,640831,6051771,-126.8202265281788,54.59376105899817
39,Riddeck Creek,197360_ds,197360,,,9,649671,5992451,-126.71327724028588,54.05851710069144
40,Riddeck Creek,197360_us,197360,,,9,649936,5992406,-126.70925429954772,54.05803596315463
41,McDowell Creek,58159_ds_ef1,58159,460435300000000000000000000000000000000000000,460-435300-00000-00000-0000-0000-000-000-000-000-000-000,9,627533,6060447,-127.02212988045116,54.675215835027686
42,McDowell Creek,58159_ds_ef2,58159,460435300000000000000000000000000000000000000,460-435300-00000-00000-0000-0000-000-000-000-000-000-000,9,627555,6060461,-127.02178280045817,54.67533600878342
43,McDowell Creek,58159_ds_ef3,58159,460435300000000000000000000000000000000000000,460-435300-00000-00000-0000-0000-000-000-000-000-000-000,9,627585,6060475,-127.02131173033325,54.67545415623779
44,McDowell Creek,58159_ds_ef4,58159,460435300000000000000000000000000000000000000,460-435300-00000-00000-0000-0000-000-000-000-000-000-000,9,627611,6060455,-127.02091750819648,54.675267942370034
45,McDowell Creek,58159_us_ef1,58159,460435300000000000000000000000000000000000000,460-435300-00000-00000-0000-0000-000-000-000-000-000-000,9,627669,6060433,-127.02002821650933,54.6750556585624
46,McDowell Creek,58159_us_ef2,58159,460435300000000000000000000000000000000000000,460-435300-00000-00000-0000-0000-000-000-000-000-000-000,9,627702,6060433,-127.01951677117724,54.67504729753341
47,McDowell Creek,58159_us_ef3,58159,460435300000000000000000000000000000000000000,460-435300-00000-00000-0000-0000-000-000-000-000-000-000,9,627793,6060395,-127.01812305068641,54.67468293219902
48,McDowell Creek,58159_us_ef4,58159,460435300000000000000000000000000000000000000,460-435300-00000-00000-0000-0000-000-000-000-000-000-000,9,628003,6060508,-127.01481890990729,54.67564454827192
49,McDowell Creek,58158_us_ef1,58158,,,9,628044,6060527,-127.01417514020858,54.67580478117215
