rowname,my_crossing_reference,my_road_tenure
5,1800092,MoTi local
6,1805182,FLNR Nadina 9772
7,1805455,NA
8,1805183,FLNR Nadina 9772
9,1803661,Canfor R10460
10,1800472,MoTi unclassified
11,1802520,NA
12,1804986,FLNR Nadina 9772
13,1804153,FLNR Nadina 9486
14,1804151,FLNR Nadina 9486
15,1804851,FLNR Nadina 10157
16,1800868,MoTi unclassified
17,1800077,MoTi unclassified
18,1800068,MoTi local
19,1804152,FLNR Nadina 9486
20,1800073,MoTi highway
21,1800071,Unknown
22,1800064,MoTi highway
23,1800062,MoTi highway
24,1800066,MoTi local
25,1805595,Canadian National
26,2020082701,MoTi local
27,1800060,MoTi highway
28,1800213,MoTi highway
29,1801069,MoTi highway
30,1800076,Unknown
31,2020083101,Unknown
32,1805606,Canadian National
33,1805608,Canadian National
34,14000079,MoTi unclassified
