column_num,pscis_crossing_id,my_crossing_reference,downstream_channel_width_meters,fill_depth_meters,fill_dpth_over,span_input
5,123794,NA,1.73,0.75,-2.25,NA
6,123795,NA,1.42,0.75,-2.25,NA
7,124487,NA,11.2,9.99,6.99,43.37
8,123445,NA,2.8,8,5,25
9,123446,NA,2.5,1.3,-1.7,10
10,124500,NA,3.6,0.8,-2.2,10
11,124501,NA,4.5,1,-2,10
12,124504,NA,5.3,0.5,-2.5,10.6
13,3042,NA,1,2,-1,NA
14,3139,NA,3.9,4,1,13
15,3054,NA,3.5,9.99,6.99,30.97
16,58159,NA,2.3,0.75,-2.25,10
17,195290,NA,2.4,6,3,19
18,195288,NA,3,1.2,-1.8,10
19,197360,NA,2.2,2.5,-0.5,10
20,NA,1800092,5.1,1,-2,10.2
21,NA,1800062,11.1,1.6,-1.4,22.2
22,NA,1800060,12.5,1,-2,25
23,NA,1800213,6.3,3,0,12.6
24,NA,1801069,4.7,1,-2,10
25,NA,1800076,3.5,2,-1,10
26,NA,1805606,3.8,0.8,-2.2,10
27,NA,1805608,5.3,0.8,-2.2,10.6
