reference_number,gazetted_name,alias_local_name,utm_easting,utm_northing,easting,northing,gps_easting,gps_northing
1,Unnamed tributary to Blunt Creek,123794_ds,616417,6106843,,,616416.6879853866,6106842.875381725
2,Unnamed tributary to Blunt Creek,123795_ds,615882,6106307,,,615882.2068009811,6106307.33623954
3,Unnamed tributary to Blunt Creek,123794_us,616100,6106763,,,,
4,Unnamed tributary to Blunt Creek,123795_us,615760,6106892,,,,
5,Porphyry Creek,124487_us,603073,6113363,,,,
6,Porphyry Creek,124487_ds,603218,6113399,,,603218.0371626082,6113398.614521581
7,Unnamed Tributary to Buck Creek,197640_ds,654400,6012372,654400,6012372,,
8,Unnamed Tributary to Buck Creek,197640_us,654312,6012383,,,,
9,Byman Creek,197658_us,666847,6044305,,,,
10,Byman Creek,197658_ds2,665471,6043766,665471,6043766,665470.9442539712,6043765.555568112
11,Byman Creek,197658_ds1,666540,6044240,666540,6044240,,
12,Richfield Creek,197662_us,672405,6044146,,,,
13,Richfield Creek,197662_ds,672294,6043866,672294,6043866,,
14,Barren Creek,197664_us,660454,6037919,,,,
15,Barren Creek,197664_ds,660599,6037832,,,660598.6751214003,6037831.6823667195
16,Barren Creek,197665_ds,660652,6037807,660652,6037807,,
17,Tyhee Creek,123445_ds,627056,6061392,,,627056.0368256829,6061391.679357061
18,Tyhee Creek,123445_us,627238,6061456,,,,
19,Tyhee Creek,123446_us,627527,6061771,,,,
20,Helps Creek,124500_us,627552,6058697,,,,
21,Helps Creek,124500_ds,627616,6058995,,,627615.8415084409,6058995.371733029
22,Moan Creek,124501_us,630661,6055713,,,,
23,Moan Creek,124501_ds,631015,6055948,,,631014.9543013474,6055948.353424559
24,Coffin Creek,197668_ds,634432,6054663,634432,6054663,,
25,Coffin Creek,124504_us,634323,6054587,,,,
26,Barren Creek,3042_us,654451,6042827,,,,
27,Barren Creek,3042_ds,654695,6042901,654695,6042901,,
28,Tributary to McQuarrie Creek,3139_ds,656504,6048327,,,656503.685805866,6048327.419025367
29,Tributary to McQuarrie Creek,3139_us,656657,6048544,,,,
30,Johnny David Creek,3054_ds,665121,6052477,665121,6052477,,
31,Johnny David Creek,3054_us,664881,6052688,,,,
32,Johnny David Creek,197663_us,670241,6044772,,,,
33,Johnny David Creek,197663_ds,670281,6044511,,,670281.301484909,6044511.155292843
34,McDowell Creek,58159_ds,627533,6060447,,,627533.3876053379,6060446.692760649
35,McDowell Creek,58159_us,627643,6060449,,,,
36,Gibson Creek,195290_ds,639884,6051622,,,639883.9639316417,6051622.011367406
37,Gibson Creek,195290_us,640014,6051697,,,,
38,Gibson Creek,195288_ds,640831,6051771,,,640831.293956019,6051771.0020148605
39,Riddeck Creek,197360_ds,649671,5992451,649671,5992451,,
40,Riddeck Creek,197360_us,649936,5992406,,,,
41,McDowell Creek,58159_ds_ef,,,,,,
42,McDowell Creek,58159_us_ef,627643,6060449,,,,
43,Gibson Creek,195290_ds_ef,,,,,,
44,Gibson Creek,195290_us_ef,640014,6051697,,,,
45,Riddeck Creek,197360_ds_ef,,,,,,
46,Riddeck Creek,197360_us_ef,,,,,,
