external_crossing_reference,stream_crossing_id
1800092,197640
1805182,197641
1805455,197642
1805183,197643
1803661,197644
1800472,197645
1802520,197646
1804986,197647
1804153,197648
1804151,197649
1804851,197650
1800868,197651
1800077,197652
1800068,197653
1804152,197654
1800073,197655
1800071,197656
1800064,197657
1800062,197658
1800066,197659
1805595,197660
2020082701,197661
1800060,197662
1800213,197663
1801069,197664
1800076,197665
2020083101,197666
1805606,197667
1805608,197668
14000079,197669
