Species,life_stage,bulkley_start1,bulkley_end1,morice_start2,morice_end2,citation_1,citation_2,citation_3,citation_4,citation_5,citation_6,notes
Chinook,Migration,1900-05-01,1900-08-01,1900-05-01,1900-09-30,gottesfeld_rabnett2007SkeenaFish,bustard_schell2002ConservingMorice,,,,,see Shepher 1979 for peak spawning
Chinook,Spawning,1900-08-01,1900-09-15,1900-09-01,1900-10-07,gottesfeld_rabnett2007SkeenaFish,bustard_schell2002ConservingMorice,,,,,
Chinook,Incubation,1900-08-01,1900-12-31,1900-09-01,1900-12-31,,,,,,,
Chinook,Incubation,1900-01-01,1900-03-31,1900-01-01,1900-04-15,,,,,,,
Chinook,Emergence,1900-04-15,1900-07-07,1900-03-15,1900-04-15,gottesfeld_rabnett2007SkeenaFish,bustard_schell2002ConservingMorice,,,,,
Chinook,Downstream displacement,,,,,,,,,,,
Chinook,Upstream fry migration,1900-07-15,1900-09-07,,,,gottesfeld_rabnett2007SkeenaFish,,,,,
Chinook,Rearing,,,,,,gottesfeld_rabnett2007SkeenaFish,,,,,
Chinook,Outmigration,,,1900-04-15,1900-07-15,,gottesfeld_rabnett2007SkeenaFish,,,,,
Coho,Migration,1900-08-15,,1900-07-15,1900-09-07,officeofthewetsuweten2013Wetsuwet,bustard_schell2002ConservingMorice,,,,,
Coho,Spawning,1900-09-15,1900-11-15,1900-10-15,1900-11-30,,bustard_schell2002ConservingMorice,,,,,
Coho,Incubation,,,1900-10-15,1900-12-31,,,,,,,
Coho,Incubation,,,1900-01-01,1900-07-07,,,,,,,
Coho,Emergence,,,1900-05-15,1900-07-07,,gottesfeld_rabnett2007SkeenaFish,,,,,
Coho,Upstream fry migration,,,,,,,,,,,
Coho,Rearing,,,,,,,,,,,
Coho,Outmigration,,,1900-04-21,1900-07-31,,bustard_schell2002ConservingMorice,,,,,
Steelhead,Migration,,,1900-07-01,1900-09-15,,bustard_schell2002ConservingMorice,,,,,
Steelhead,Overwintering,,,1900-07-01,1900-12-31,,bustard_schell2002ConservingMorice,,,,,
Steelhead,Overwintering,,,1900-01-01,1900-03-21,,bustard_schell2002ConservingMorice,,,,,
Steelhead,Spawning,1900-04-15,1900-06-15,1900-05-15,1900-06-15,,bustard_schell2002ConservingMorice,,,,,
Steelhead,Incubation,,,1900-05-15,1900-08-31,,bustard_schell2002ConservingMorice,,,,,
Steelhead,Emergence,,,1900-08-01,1900-08-31,,bustard_schell2002ConservingMorice,,,,,
Sockeye,Migration,,,1900-06-15,1900-08-31,,bustard_schell2002ConservingMorice,,,,,
Sockeye,Spawning,1900-08-01,1900-09-15,1900-09-01,1900-09-30,,bustard_schell2002ConservingMorice,,,,,
Sockeye,Incubation,,,1900-01-01,1900-05-21,,gottesfeld_rabnett2007SkeenaFish,,,,,
Sockeye,Incubation,,,1900-09-01,1900-12-31,,gottesfeld_rabnett2007SkeenaFish,,,,,
Sockeye,Emergence,,,,,,,,,,,
Bull Trout,Migration,1900-07-15,1900-09-01,1900-06-01,1900-09-01,,bustard_schell2002ConservingMorice,,,,,
Bull Trout,Spawning,1900-09-01,1900-10-15,1900-08-23,1900-09-15,,bustard_schell2002ConservingMorice,,,,,
Bull Trout,Incubation,1900-09-01,1901-04-30,1900-08-23,1900-12-31,,,,,,,
Bull Trout,Incubation,1900-09-01,1901-04-30,1900-01-01,1900-04-30,,,,,,,
Bull Trout,Emergence,,,,,,,,,,,
Cutthroat Trout,Migration,,,1900-05-01,1900-06-01,,,,,,,
Cutthroat Trout,Spawning,,,1900-06-01,1900-06-30,,bustard_schell2002ConservingMorice,,,,,
Cutthroat Trout,Incubation,,,1900-06-30,1900-08-07,,bustard_schell2002ConservingMorice,,,,,
Cutthroat Trout,Emergence,,,1900-07-01,1900-08-07,,bustard_schell2002ConservingMorice,,,,,
Pacific Lamprey,Migration,,,,,,,,,,,
Pacific Lamprey,Spawning,,,1900-06-30,1900-07-31,,bustard_schell2002ConservingMorice,,,,,
Pacific Lamprey,Incubation,,,,,,,,,,,
Pacific Lamprey,Emergence,,,,,,,,,,,
