id,funding_project_number,funding_project,project_id,funding_source,responsible_party_name,consultant_name,assessment_date,stream_crossing_id,assessment_id,external_crossing_reference,crew_members,utm_zone,utm_easting,utm_northing,location_confidence_ind,stream_name,road_name,road_km_mark,road_tenure,crossing_type_code,crossing_type_desc,crossing_subtype_code,crossing_subtype_desc,diameter_or_span,length_or_width,continuous_embeddedment_ind,average_depth_embededdment,resemble_channel_ind,backwatered_ind,percentage_backwatered,fill_depth,outlet_drop,outlet_pool_depth,inlet_drop_ind,culvert_slope,downstream_channel_width,stream_slope,beaver_activity_ind,fish_observed_ind,valley_fill_code,valley_fill_code_desc,habitat_value_code,habitat_value_desc,stream_width_ratio,stream_width_ratio_score,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,final_score,barrier_result_code,barrier_result_description,crossing_fix_code,crossing_fix_desc,recommended_diameter_or_span,assessment_comment,ecocat_url,image_view_url,current_pscis_status,current_crossing_type_code,current_crossing_type_desc,current_crossing_subtype_code,current_crossing_subtype_desc,current_barrier_result_code,current_barrier_description,feature_code,objectid,se_anno_cad_data,ogc_fid,study_area,geom
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7b98,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-17,60427,60507,BING001,JB/TF,11,643706,5562373,Y,Bingay Creek,Elk River FSR,NA,FSR,OBS,Open Bottom Structure,BRIDGE,Bridge,15.7,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASSABLE,Passable - No barrier,NA,NA,NA,Bridge in good condition,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=60507,ASSESSED,OBS,Open Bottom Structure,BRIDGE,Bridge,PASSABLE,Passable - No barrier,NA,25018302,NA,10924,elk,"c(1783057.2190048, 636632.659328303)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7b97,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-17,60428,60508,BING002,JB/TF,11,642421,5562511,Y,Tributary to Bingay Creek,Lowe,NA,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.45,21,N,NA,N,N,NA,4,0.35,0,N,20,0.1,18,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,0.222,0,3,10,10,10,33,BARRIER,Barrier,SS-CBS,Replace structure with streambed simulation CBS,0.45,poor fish habitat. Fish use unlikely. Low priority,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=60508,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,BARRIER,Barrier,NA,25018303,NA,10925,elk,"c(1781765.22035867, 636604.844702542)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7b96,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-17,60429,60509,BING003,JB/TF,11,642517,5562370,Y,Tributary to Bingay Creek,Lowe,121,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.45,10,N,NA,N,N,NA,1.5,0,0,N,5,0.6,13,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,1.333,6,0,10,0,10,26,BARRIER,Barrier,SS-CBS,Replace structure with streambed simulation CBS,0.6,poor fish habitat. Fish use unlikely. Low priority,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=60509,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,BARRIER,Barrier,NA,25018304,NA,10926,elk,"c(1781878.50612014, 636477.261802171)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7b95,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-17,60430,60510,BING004,JB/TF,11,642694,5562286,Y,Tributary to Bingay Creek,Lowe,121,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.4,10,N,NA,N,N,NA,0.5,0,0,N,6,0.2,17,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,0.5,0,0,10,0,10,20,BARRIER,Barrier,SS-CBS,Replace structure with streambed simulation CBS,0.4,poor fish habitat. Fish use unlikely. Low priority,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=60510,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,BARRIER,Barrier,NA,25018305,NA,10927,elk,"c(1782064.80667421, 636416.613387891)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a5f,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-17,62183,62323,FRSY001,JB/TF,11,644876,5566339,Y,Forsyth Creek,Elk River FSR,125,FSR,OBS,Open Bottom Structure,BRIDGE,Bridge,18.5,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PASSABLE,Passable - No barrier,NA,NA,NA,Bridge in good condition.,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62323,ASSESSED,OBS,Open Bottom Structure,BRIDGE,Bridge,PASSABLE,Passable - No barrier,NA,25018615,NA,11238,elk,"c(1783708.67900663, 640717.433764996)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a4d,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62220,62360,ELKR006,JB/TF,11,641993,5597739,Y,Elk River Tibutary,Elk River FSR,158,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.6,12.3,N,NA,N,N,NA,1,0,0,N,2,0.5,3,N,N,DF,Deep Fill - No or little bedrock showing on stream,MEDIUM,Medium habitat value,0.833,0,0,10,0,5,15,POTENTIAL,Potential barrier,SS-CBS,Replace structure with streambed simulation CBS,0.6,Good potential for fix. Rearing habitat upstream. Small stream.,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62360,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,POTENTIAL,Potential barrier,NA,25018633,NA,11256,elk,"c(1776823.20802713, 671506.799560642)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a4c,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62221,62361,ELKR514,JB/TF,11,641253,5598674,Y,Elk River Tibutary,Elk River FSR,160,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.6,10,N,NA,N,N,NA,0.8,0,0,N,4,0.4,1,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,0.667,0,0,10,0,10,20,BARRIER,Barrier,SS-CBS,Replace structure with streambed simulation CBS,0.6,Dry Channel. Poor Fish Habitat. Fish use unlikely,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62361,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,BARRIER,Barrier,NA,25018634,NA,11257,elk,"c(1775969.73531367, 672340.051947973)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a4b,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62222,62362,ELKR515,JB/TF,11,641052,5598696,Y,Elk River Tibutary,Elk River FSR,161,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.6,8.6,N,NA,N,N,NA,0.4,0,0,N,0.5,0.4,2,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,0.667,0,0,10,0,0,10,PASSABLE,Passable - No barrier,NA,NA,NA,Dry Channel. Poor Fish Habitat. Fish use unlikely,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62362,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,PASSABLE,Passable - No barrier,NA,25018635,NA,11258,elk,"c(1775767.65442686, 672336.159557407)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a4a,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62223,62363,ELKR003,JB/TF,11,641610,5598436,Y,Elk River Tibutary,Elk River FSR,160,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.5,8,N,NA,N,N,NA,1,0,0,N,5,0.1,8,N,N,DF,Deep Fill - No or little bedrock showing on stream,LOW,Low habitat value,0.2,0,0,10,0,10,20,BARRIER,Barrier,SS-CBS,Replace structure with streambed simulation CBS,0.5,Poor fish habitat. Fish use unlikely. Low priority,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62363,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,BARRIER,Barrier,NA,25018636,NA,11259,elk,"c(1776354.15765842, 672149.534374025)"
WHSE_FISH.PSCIS_ASSESSMENT_SVW.fid--59fa3e92_176925ed2e0_-7a49,PD13TFE006,Fish Passage Assessments in the Rocky Mountain Forest District,841,LBIS,TIMBER SALES MANAGER KOOTENAY,VAST RESOURCE SOLUTIONS INC.,2012-10-16,62224,62364,ELKR002,JB/TF,11,641508,5598570,Y,Elk River Tibutary,Elk River FSR,160,FSR,CBS,Closed Bottom Structure,ROUND,Round Culvert,0.4,8,N,NA,N,N,NA,0.7,0,0,N,3,0.3,6,N,N,DF,Deep Fill - No or little bedrock showing on stream,MEDIUM,Medium habitat value,0.75,0,0,10,0,10,20,BARRIER,Barrier,SS-CBS,Replace structure with streambed simulation CBS,0.4,Good potential for fix. Rearing habitat upstream. Small stream.,http://a100.gov.bc.ca/pub/acat/public/advancedSearch.do?keywords=[PSCIS841]&searchKeyType=searchAll&sortColumn=title,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=62364,ASSESSED,CBS,Closed Bottom Structure,ROUND,Round Culvert,BARRIER,Barrier,NA,25018637,NA,11260,elk,"c(1776235.86113538, 672269.472566664)"
