channel_width_id,stream_sample_site_ids,stream_crossing_ids,wscode_ltree,localcode_ltree,watershed_group_code,stream_order,stream_magnitude,gradient,upstream_area_ha,upstream_lake_ha,upstream_reservoir_ha,upstream_wetland_ha,channel_width_measured,map
1,{14106},{197691},100.190442.244975.046608,100.190442.244975.046608,LNIC,3,40,0.08174999999999999,2459.4443,0.12,0,2.25,1.1,299
2,{14107},,100.190442.244975.046608,100.190442.244975.046608.348679,LNIC,3,12,0.1883,1120.1637,0.12,0,2.25,1.3,410
3,"{14108,18786}",,100.190442.244975.046608,100.190442.244975.046608.558623,LNIC,2,6,0.1123,446.618,0.12,0,1.08,1.5,454
4,{18788},,100.190442.244975.054226,100.190442.244975.054226.670631,LNIC,1,1,0.2472,0,0,0,0,0.16,418
5,{18790},,100.190442.244975.054226.615435,100.190442.244975.054226.615435,LNIC,1,1,0.2399,0,0,0,0,0.47,418
6,,{7885},100.190442.244975.114234,100.190442.244975.114234.607095,LNIC,4,60,0.0669,2328.9848,8.99,0,17.31,3.5,419
7,"{14176,14176}","{197682,197683}",100.190442.244975.114234,100.190442.244975.114234.859407,LNIC,3,14,0.019733333333333332,418.0614,3.02,0,10.53,1.1,489
8,,{197686},100.190442.244975.114234,100.190442.244975.114234.900990,LNIC,3,10,0.014100000000000001,276.8053,2.95,0,6.87,1.47,497
9,,{197680},100.190442.244975.114234.095216,100.190442.244975.114234.095216,LNIC,4,46,0.0964,2471.3813,4.99,0,1.97,2.47,332
10,,{197684},100.190442.244975.114234.410534,100.190442.244975.114234.410534.770152,LNIC,3,7,0.025,258.2617,1.8,0,10.69,1,497
11,,{8237},100.190442.244975.114234.410534.151119.563781,100.190442.244975.114234.410534.151119.563781.140700,LNIC,3,4,0.0612,85.3197,0.28,0,0,0.7,481
12,{14178},,100.190442.244975.114234.410534.254537,100.190442.244975.114234.410534.254537.542808,LNIC,3,7,0.0218,391.7797,0.88,0,16.4,0.7,467
13,,{197685},100.190442.244975.114234.410534.770152,100.190442.244975.114234.410534.770152,LNIC,2,2,0.0288,113.8968,0,0,1.32,0.87,492
14,,{197690},100.190442.244975.114234.580358,100.190442.244975.114234.580358.426808,LNIC,3,5,0.016512500000000003,206.7591,15.95,0,20.51,1.9,428
15,,{197681},100.190442.244975.114234.594600,100.190442.244975.114234.594600.260721,LNIC,4,58,0.022366666666666663,2800.7802,81.26,0,38.84,3.47,436
16,,{197689},100.190442.244975.114234.594600,100.190442.244975.114234.594600.656773,LNIC,4,41,0.006999999999999999,1898.4603,80.64,0,33.9,5.23,454
17,{14174},,100.190442.244975.114234.594600.569921,100.190442.244975.114234.594600.569921.479245,LNIC,1,1,0.0305,0,0,0,0.31,0.5,471
18,{14173},,100.190442.244975.114234.594600.569921.479245,100.190442.244975.114234.594600.569921.479245,LNIC,1,1,0.0682,0,0,0,0,0.5,460
19,,{197688},100.190442.244975.114234.594600.672845,100.190442.244975.114234.594600.672845.175797,LNIC,4,34,0.0279,1274.3465,58.02,0,21.89,2.13,464
20,{14172},{197687},100.190442.244975.114234.594600.672845,100.190442.244975.114234.594600.672845.537633,LNIC,3,14,0.0176,599.4391,46.94,0,11.15,1.3,485
21,,{7677},100.190442.244975.114234.607095,100.190442.244975.114234.607095,LNIC,2,2,0.0649,62.6759,0,0,0,1.4,410
22,{14175},,100.190442.244975.114234.854804,100.190442.244975.114234.854804.112208,LNIC,1,1,0.0524,0,0,0,0,0.8,489
23,,"{197692,197693}",100.190442.244975.141791,100.190442.244975.141791,LNIC,4,42,0.02485,2074.2488,0.66,0,1.18,4.02,317
24,{14105},,100.190442.244975.214672.093473,100.190442.244975.214672.093473.643701,LNIC,1,1,0.1544,0,0,0,0,0.7,526
25,{14121},,100.190442.244975.214672.485952,100.190442.244975.214672.485952.613271,LNIC,2,6,0.0534,270.364,0,0,0,2.3,536
26,,"{197023,197022}",100.190442.244975.232973.064012,100.190442.244975.232973.064012.139967,LNIC,4,20,0.065,2080.2878,0,0,0.99,2.75,415
27,,{197694},100.190442.244975.232973.376410,100.190442.244975.232973.376410.697871,LNIC,5,61,0.0497,2588.319,5.54,0,8.11,6.83,653
28,,{197695},100.190442.244975.232973.376410,100.190442.244975.232973.376410.812594,LNIC,5,56,0.0193,2322.626,5.41,0,7.48,6.8,665
29,,{197696},100.190442.244975.232973.376410,100.190442.244975.232973.376410.839345,LNIC,4,26,0.0378,878.7919,3.82,0,2.78,4.07,675
30,,{196980},100.190442.244975.232973.504304.232806,100.190442.244975.232973.504304.232806.157334,LNIC,3,13,0.062,765.3136,0,0,0,2.1,839
31,,{196982},100.190442.244975.232973.504304.259402,100.190442.244975.232973.504304.259402,LNIC,2,4,0.1797,232.0985,0,0,0,2,882
32,,{197035},100.190442.244975.232973.504304.343289,100.190442.244975.232973.504304.343289.168106,LNIC,3,9,0.0095,419.3296,0.22,0,0.22,0.45,879
33,,{196979},100.190442.244975.232973.504304.368133,100.190442.244975.232973.504304.368133,LNIC,3,12,0.103,575.3107,0.85,0,0,1.7,909
34,{14150},,100.190442.244975.232973.504304.390769.561716,100.190442.244975.232973.504304.390769.561716.191825,LNIC,1,1,0.02805,0,0,0,0.2,1.3,1054
35,,{196976},100.190442.244975.232973.504304.472605,100.190442.244975.232973.504304.472605,LNIC,1,1,0.1052,0,0,0,0,2.6,927
36,{53497},,100.190442.244975.232973.504304.479898,100.190442.244975.232973.504304.479898.216335,LNIC,4,35,0.015,4704.1972,67.11,0,9.91,10,1022
37,"{14125,14127}",,100.190442.244975.232973.504304.479898,100.190442.244975.232973.504304.479898.572743,LNIC,2,3,0.0542,559.2263,0.4,0,0,3.7,1215
38,"{14130,14126}",,100.190442.244975.232973.504304.479898,100.190442.244975.232973.504304.479898.745889,LNIC,2,2,0.1177,173.6334,0.4,0,0,2.45,1355
39,"{14129,14128}",,100.190442.244975.232973.504304.479898,100.190442.244975.232973.504304.479898.863358,LNIC,1,1,0.1247,0,0,0,0,1.5,1479
40,{53500},,100.190442.244975.232973.504304.479898.126432,100.190442.244975.232973.504304.479898.126432,LNIC,3,6,0.1246,393.1086,0,0,0,3.7,1035
41,,{196972},100.190442.244975.232973.504304.479898.264226,100.190442.244975.232973.504304.479898.264226,LNIC,2,4,0.1466,163.1277,0,0,0,2,1056
42,,{196969},100.190442.244975.232973.504304.479898.320483,100.190442.244975.232973.504304.479898.320483,LNIC,3,21,0.0009,1336.3408,38.46,0,2.9,2.6,1053
43,{53498},,100.190442.244975.232973.504304.479898.320483,100.190442.244975.232973.504304.479898.320483.304527,LNIC,3,16,0.0157,1146.6184,38.46,0,0.77,3.43,1074
44,,{196970},100.190442.244975.232973.504304.479898.320483.349052,100.190442.244975.232973.504304.479898.320483.349052,LNIC,2,3,0.1186,188.2998,0,0,0,1.9,1077
45,{53518},{196968},100.190442.244975.232973.504304.479898.320483.462454,100.190442.244975.232973.504304.479898.320483.462454,LNIC,2,3,0.0869,208.9637,0,0,0,1.85,1079
46,{53511},,100.190442.244975.232973.504304.479898.387647,100.190442.244975.232973.504304.479898.387647.025843,LNIC,2,2,0.08585,44.4671,10.19,0,0,2.65,1118
47,{14135},,100.190442.244975.232973.504304.479898.572743,100.190442.244975.232973.504304.479898.572743,LNIC,2,2,0.019225,943.5198,17.93,0,3.34,1.6,1212
48,"{14131,51941,14132,14133,51940}",,100.190442.244975.232973.504304.479898.572743,100.190442.244975.232973.504304.479898.572743.378382,LNIC,1,1,0.04036666666666667,0,10.35,0,0,2.66,1305
49,{14136},,100.190442.244975.232973.504304.479898.572743.378382,100.190442.244975.232973.504304.479898.572743.378382,LNIC,1,1,0.1305,0,0,0,0,4,1417
50,,{196977},100.190442.244975.232973.504304.551499,100.190442.244975.232973.504304.551499.045671,LNIC,2,3,0.1137,258.2385,0,0,3.22,2.5,1052
51,{14147},,100.190442.244975.232973.590298,100.190442.244975.232973.590298.584530,LNIC,2,8,0.0825,284.2064,3.4,0,0,2.9,1193
52,{14148},,100.190442.244975.232973.590298,100.190442.244975.232973.590298.664969,LNIC,2,7,0.027,173.0778,2.32,0,0,2.9,1204
53,,{196986},100.190442.244975.232973.590298.253253,100.190442.244975.232973.590298.253253.413283,LNIC,2,7,0.022,628.8109,1.17,0,24.18,2.7,1050
54,{14191},,100.190442.244975.232973.590298.253253,100.190442.244975.232973.590298.253253.537582,LNIC,2,5,0.0046,481.8327,1.17,0,23.37,2.7,1075
55,{14192},,100.190442.244975.232973.590298.253253,100.190442.244975.232973.590298.253253.668967,LNIC,2,2,0,117.776,0,0,23.37,4.3,1103
56,{14196},,100.190442.244975.232973.590298.253253,100.190442.244975.232973.590298.253253.811049,LNIC,1,1,0.09765000000000001,0,0,0,23.37,0.8,1116
57,,{196987},100.190442.244975.232973.590298.253253.333294,100.190442.244975.232973.590298.253253.333294,LNIC,2,2,0.0654,150.0027,0,0,0,2.2,1050
58,"{14145,14168}",,100.190442.244975.232973.590298.529741,100.190442.244975.232973.590298.529741,LNIC,3,12,0.0865,632.995,3.35,0,0,2.45,1174
59,,{197030},100.190442.244975.232973.697646,100.190442.244975.232973.697646,LNIC,2,2,0.2371,71.9666,0.8,0,0,1.9,958
60,,{197031},100.190442.244975.232973.802481,100.190442.244975.232973.802481,LNIC,2,2,0.0241,78.3242,0,0,0,2,1088
61,,{8239},100.190442.244975.285560,100.190442.244975.285560.698698,LNIC,3,14,0.0891,827.1219,9.1,0,17,2,417
