channel_width_id,stream_sample_site_ids,stream_crossing_ids,wscode_ltree,localcode_ltree,watershed_group_code,stream_order,stream_magnitude,gradient,upstream_area_ha,upstream_lake_ha,upstream_reservoir_ha,upstream_wetland_ha,channel_width_measured,map,Exclude,Reason
1,{14106},,100.190442.244975.046608,100.190442.244975.046608,LNIC,3,40,0.08175,2459.4443,0.12,0,2.25,1.1,299,,
2,{14107},,100.190442.244975.046608,100.190442.244975.046608.348679,LNIC,3,12,0.1883,1120.1637,0.12,0,2.25,1.3,410,,
3,"{14108,18786}",,100.190442.244975.046608,100.190442.244975.046608.558623,LNIC,2,6,0.1123,446.618,0.12,0,1.08,1.5,454,,
4,{18788},,100.190442.244975.054226,100.190442.244975.054226.670631,LNIC,1,1,0.2472,0,0,0,0,0.16,418,,
5,{18790},,100.190442.244975.054226.615435,100.190442.244975.054226.615435,LNIC,1,1,0.2399,0,0,0,0,0.47,418,,
6,,{7885},100.190442.244975.114234,100.190442.244975.114234.607095,LNIC,4,60,0.0669,2328.9848,8.99,0,17.31,3.5,419,,
7,{14176},,100.190442.244975.114234,100.190442.244975.114234.859407,LNIC,3,14,0.019733333,418.0614,3.02,0,10.53,1.1,489,,
8,,{8237},100.190442.244975.114234.410534.151119.563781,100.190442.244975.114234.410534.151119.563781.140700,LNIC,3,4,0.0612,85.3197,0.28,0,0,0.7,481,,
9,{14178},,100.190442.244975.114234.410534.254537,100.190442.244975.114234.410534.254537.542808,LNIC,3,7,0.0218,391.7797,0.88,0,16.4,0.7,467,,
10,{14177},,100.190442.244975.114234.410534.254537,100.190442.244975.114234.410534.254537.587125,LNIC,3,6,0.007466667,255.4945,0.68,0,12.22,0.7,479,,
11,{14174},,100.190442.244975.114234.594600.569921,100.190442.244975.114234.594600.569921.479245,LNIC,1,1,0.0305,0,0,0,0.31,0.5,471,,
12,{14172},,100.190442.244975.114234.594600.672845,100.190442.244975.114234.594600.672845.537633,LNIC,3,14,0.0176,599.4391,46.94,0,11.15,1.3,485,,
1527,,{197666},400.431358,400.431358.430066,BULK,8,10153,0.001966667,747924.3969,23222.21,106.11,15230.1,6,460,Y,Upstream drainage area includes Morice
13,,{7677},100.190442.244975.114234.607095,100.190442.244975.114234.607095,LNIC,2,2,0.0649,62.6759,0,0,0,1.4,410,,
14,{14175},,100.190442.244975.114234.854804,100.190442.244975.114234.854804.112208,LNIC,1,1,0.0524,0,0,0,0,0.8,489,,
15,{14105},,100.190442.244975.214672.093473,100.190442.244975.214672.093473.643701,LNIC,1,1,0.1544,0,0,0,0,0.7,526,,
16,{14121},,100.190442.244975.214672.485952,100.190442.244975.214672.485952.613271,LNIC,2,6,0.0534,270.364,0,0,0,2.3,536,,
17,,"{197022,197023}",100.190442.244975.232973.064012,100.190442.244975.232973.064012.139967,LNIC,4,20,0.065,2080.2878,0,0,0.99,2.75,415,,
18,,{196980},100.190442.244975.232973.504304.232806,100.190442.244975.232973.504304.232806.157334,LNIC,3,13,0.062,765.3136,0,0,0,2.1,839,,
19,,{196982},100.190442.244975.232973.504304.259402,100.190442.244975.232973.504304.259402,LNIC,2,4,0.1797,232.0985,0,0,0,2,882,,
20,,{197035},100.190442.244975.232973.504304.343289,100.190442.244975.232973.504304.343289.168106,LNIC,3,9,0.0095,419.3296,0.22,0,0.22,0.45,879,,
21,,{196979},100.190442.244975.232973.504304.368133,100.190442.244975.232973.504304.368133,LNIC,3,12,0.103,575.3107,0.85,0,0,1.7,909,,
22,{14150},,100.190442.244975.232973.504304.390769.561716,100.190442.244975.232973.504304.390769.561716.191825,LNIC,1,1,0.02805,0,0,0,0.2,1.3,1054,,
23,,{196976},100.190442.244975.232973.504304.472605,100.190442.244975.232973.504304.472605,LNIC,1,1,0.1052,0,0,0,0,2.6,927,,
24,{53497},,100.190442.244975.232973.504304.479898,100.190442.244975.232973.504304.479898.216335,LNIC,4,35,0.015,4704.1972,67.11,0,9.91,10,1022,,
25,"{14125,14127}",,100.190442.244975.232973.504304.479898,100.190442.244975.232973.504304.479898.572743,LNIC,2,3,0.0542,559.2263,0.4,0,0,3.7,1215,,
26,"{14126,14130}",,100.190442.244975.232973.504304.479898,100.190442.244975.232973.504304.479898.745889,LNIC,2,2,0.1177,173.6334,0.4,0,0,2.45,1355,,
27,"{14129,14128}",,100.190442.244975.232973.504304.479898,100.190442.244975.232973.504304.479898.863358,LNIC,1,1,0.1247,0,0,0,0,1.5,1479,,
28,{53500},,100.190442.244975.232973.504304.479898.126432,100.190442.244975.232973.504304.479898.126432,LNIC,3,6,0.1246,393.1086,0,0,0,3.7,1035,,
29,,{196972},100.190442.244975.232973.504304.479898.264226,100.190442.244975.232973.504304.479898.264226,LNIC,2,4,0.1466,163.1277,0,0,0,2,1056,,
30,,{196969},100.190442.244975.232973.504304.479898.320483,100.190442.244975.232973.504304.479898.320483,LNIC,3,21,0.0009,1336.3408,38.46,0,2.9,2.6,1053,,
31,,{196970},100.190442.244975.232973.504304.479898.320483.349052,100.190442.244975.232973.504304.479898.320483.349052,LNIC,2,3,0.1186,188.2998,0,0,0,1.9,1077,,
32,{53518},{196968},100.190442.244975.232973.504304.479898.320483.462454,100.190442.244975.232973.504304.479898.320483.462454,LNIC,2,3,0.0869,208.9637,0,0,0,1.85,1079,,
33,{53511},,100.190442.244975.232973.504304.479898.387647,100.190442.244975.232973.504304.479898.387647.025843,LNIC,2,2,0.08585,44.4671,10.19,0,0,2.65,1118,,
